"Hospital_ID";"First_Name";"Last_Name";"Middle_Initial";"DOB";"Street_Number";"Street_Name";"Apt_Number";"City";"State_ID";"Zipcode";"Email";"Phone_Number";"Sex";"Ethnicity";"Created_At";"Last_Updated"
12;"Andre";"Hal";"H";"1984-01-27";8008;"Lectus, Avenue";26;"Houston";45;92353;"adipiscing@dolorquam.edu";"552177809";"male";"Asian";"2019-04-23 16:17:59";"0000-00-00 00:00:00"
13;"Jordan";"Akins";"";"1985-02-28";9534;"Vivamus Avenue";90;"West Valley City";46;50107;"at.augue.id@a.co.uk";"637028396";"male";"Asian";"2019-04-23 16:18:00";"0000-00-00 00:00:00"
14;"Johnson";"Bademosi";"J";"1986-03-29";1657;"Ligula Ave";54;"Los Angeles";5;52076;"ornare@purusactellus.com";"193196439";"male";"Hispanic";"2019-04-23 16:18:01";"0000-00-00 00:00:00"
15;"Davin ";"Bellamy";"K";"1987-04-30";1831;"Dictum Rd.";2;"Boise";13;55536;"varius.et.euismod@Quisqueaclib";"127804784";"male";"Asian";"2019-04-23 16:18:02";"0000-00-00 00:00:00"
16;"Angelo ";"Blackson";"A";"1988-05-30";6505;"Maecenas Avenue";45;"Los Angeles";5;91500;"purus@nibhQuisquenonummy.co.uk";"672681897";"male";"Native American";"2019-04-23 16:18:03";"0000-00-00 00:00:00"
17;"Briean";"Boddy-Calhoun";"";"1989-06-01";8334;"Hendrerit. Avenue";82;"West Valley City";46;64694;"vulputate.ullamcorper@luctus.e";"725394320";"male";"Others";"2019-04-23 16:18:04";"0000-00-00 00:00:00"
18;"Deandre ";"Carter";"Y";"1990-07-02";3595;"Curae; Av.";54;"Houston";45;64285;"neque.venenatis.lacus@interdum";"771664295";"male";"Native American";"2019-04-23 16:18:05";"0000-00-00 00:00:00"
19;"Shannon";"Sharpe";"U";"1991-08-03";2354;"Tellus Av.";12;"St.Cloud";24;83183;"nec.quam.Curabitur@nisiCumsoci";"439609786";"male";"White";"2019-04-23 16:18:06";"0000-00-00 00:00:00"
20;"Skip ";"Bayless";"";"1992-09-04";1882;"Feugiat St.";30;"Houston";45;45038;"hendrerit.a.arcu@aliquam.co.uk";"130693489";"male";"Native American";"2019-04-23 16:18:07";"0000-00-00 00:00:00"
21;"Dylan ";"Cole";"P";"1993-10-05";5009;"Nunc Rd.";19;"West Valley City";46;88077;"Quisque@tinciduntnequevitae.co";"926191623";"male";"White";"2019-04-23 16:18:08";"0000-00-00 00:00:00"
22;"Aaron";"Colvin";"";"1994-11-06";3106;"Felis Rd.";81;"St.Cloud";24;75184;"molestie.dapibus@nuncac.co.uk";"875368563";"male";"Asian";"2019-04-23 16:18:09";"0000-00-00 00:00:00"
23;"Zach ";"Cunningham";"Q";"1995-12-07";8518;"Magna St.";4;"Los Angeles";5;16054;"lobortis.risus.In@nonjustoProi";"249708284";"male";"White";"2019-04-23 16:18:10";"0000-00-00 00:00:00"
24;"Trevor ";"Daniel";"D";"1996-01-08";6669;"Ante. Rd.";11;"Boise";13;67702;"tincidunt@acmattissemper.com";"111130593";"male";"White";"2019-04-23 16:18:11";"0000-00-00 00:00:00"
25;"Brandon ";"Dunn";"";"1970-02-09";4299;"Diam. Street";19;"Houston";45;78543;"Nunc@molestie.ca";"683839226";"male";"Hispanic";"2019-04-23 16:18:11";"0000-00-00 00:00:00"
26;"Duke";"Ejiofor";"T";"1971-03-10";8676;" Accumsan Ave";75;"St.Cloud";24;12766;"tincidunt.congue@tellusimperdi";"758580624";"male";"African American";"2019-04-23 16:18:12";"0000-00-00 00:00:00"
27;"Kaimi";"Fairbairn";"J";"1972-04-11";9665;"Proin Rd.";1;"Los Angeles";5;69569;"sem.Nulla.interdum@Donec.edu";"689333985";"male";"African American";"2019-04-23 16:18:13";"0000-00-00 00:00:00"
28;"Darren";"Fells";"D";"1973-05-12";7685;"Et, Ave";55;"Houston";45;32009;"ipsum.porta.elit@Nullam.org";"777573369";"male";"";"2019-04-23 16:18:14";"0000-00-00 00:00:00"
29;"Donta";"Foreman";"V";"1974-06-13";3314;"Suspendisse St.";20;"West Valley City";46;56819;"dignissim.Maecenas.ornare@sagi";"119854739";"male";"Native American";"2019-04-23 16:18:15";"0000-00-00 00:00:00"
30;"Zach ";"Fulton";"N";"1975-07-14";9207;"Sodales. St.";8;"St.Cloud";24;12214;"amet@Proinvelnisl.co.uk";"984234022";"male";"";"2019-04-23 16:18:16";"0000-00-00 00:00:00"
31;"Tashaun";"Gipson";"";"1976-08-15";5802;"Sit Ave";57;"St.Cloud";24;81561;"velit.in@Phasellusat.ca";"313126094";"male";"Others";"2019-04-23 16:18:17";"0000-00-00 00:00:00"
32;"Ryan ";"Griffin";"K";"1977-09-16";6055;"Diam St.";90;"Los Angeles";5;98459;"malesuada.fames.ac@Aliquamerat";"132482436";"male";"White";"2019-04-23 16:18:18";"0000-00-00 00:00:00"
33;"Joel";"Heath";"";"1978-10-17";6695;"Vitae St.";1;"St.Cloud";24;12776;"ut.cursus.luctus@luctus.org";"799296931";"male";"";"2019-04-23 16:18:19";"0000-00-00 00:00:00"
34;"Seantrel";"Henderson";"";"1979-11-18";654;"Nunc St.";33;"Los Angeles";5;24313;"aliquet@Integereulacus.org";"166544402";"male";"Others";"2019-04-23 16:18:20";"0000-00-00 00:00:00"
35;"Buddy";"Howell";"";"1980-12-19";4715;"Augue Avenue";2;"Houston";45;23052;"risus.Donec.egestas@dictum.edu";"731003002";"male";"Others";"2019-04-23 16:18:21";"0000-00-00 00:00:00"
36;"Matt";"Kalil";"L";"1981-01-20";5213;"Enim. Rd.";55;"Miami";10;88552;"arcu.Curabitur.ut@Morbivehicul";"735683305";"male";"Asian";"2019-04-23 16:18:22";"0000-00-00 00:00:00"
37;"Senio";"Kelemete";"";"1982-02-21";2507;"Dolor Ave";37;"West Valley City";46;48980;"ligula.tortor.dictum@egestashe";"264671458";"male";"African American";"2019-04-23 16:18:23";"0000-00-00 00:00:00"
38;"Greg";"Mancz";"";"1983-03-22";2671;"Aliquam Road";83;"West Valley City";46;24771;"auctor@quislectusNullam.ca";"782221253";"male";"Asian";"2019-04-23 16:18:24";"0000-00-00 00:00:00"
39;"Benardrick";"McKnney";"W";"1984-04-23";2803;"Nec Street";78;"Los Angeles";5;20173;"dolor@scelerisque.org";"132489626";"male";"Native American";"2019-04-23 16:18:24";"0000-00-00 00:00:00"
40;"Whitney";"Mercilus";"R";"1985-05-24";2588;"Sapien Rd.";46;"St.Cloud";24;60922;"et.netus.et@sit.net";"259611115";"male";"White";"2019-04-23 16:18:25";"0000-00-00 00:00:00"
41;"Martinas";"Rankin";"";"1986-06-25";6674;"Magna. Road";44;"Los Angeles";5;69755;"Etiam@nonegestas.net";"573519494";"male";"Asian";"2019-04-23 16:18:26";"0000-00-00 00:00:00"
42;"DJ";"Reader";"";"1987-07-26";4995;"Aliquam Rd.";95;"St.Cloud";24;14716;"nec.quam@Sed.net";"115352039";"male";"Hispanic";"2019-04-23 16:18:27";"0000-00-00 00:00:00"
43;"Justin ";"Reid";"";"1988-08-27";770;"Aliquet St.";3;"Boise";13;71491;"sit.amet.luctus@auguemalesuada";"169741314";"male";"Native American";"2019-04-23 16:18:28";"0000-00-00 00:00:00"
44;"Bradley ";"Roby";"";"1989-09-28";286;"Ullamcorper, Street";15;"St.Cloud";24;24842;"ipsum.dolor@urnaVivamus.com";"893442751";"male";"African American";"2019-04-23 16:18:29";"0000-00-00 00:00:00"
45;"Brennan ";"Scarlett";"J";"1990-10-29";2046;"Mi. Ave";90;"Houston";45;61714;"ante.blandit.viverra@ametlorem";"463157798";"male";"Others";"2019-04-23 16:18:30";"0000-00-00 00:00:00"
46;"Vyncint";"Smith";"J";"1991-11-30";3375;"Mauris Rd.";61;"Boise";13;94294;"cubilia@Nam.com";"657536879";"male";"White";"2019-04-23 16:18:31";"0000-00-00 00:00:00"
47;"Jordan";"Thomas";"S";"1992-12-01";2440;"Sodales Street";14;"Houston";45;94821;"fames.ac@iaculisodioNam.org";"382157677";"male";"Hispanic";"2019-04-23 16:18:32";"0000-00-00 00:00:00"
48;"Mike";"Tyson";"";"1993-01-02";7161;"Iaculis, St.";85;"West Valley City";46;68538;"tristique.ac@vulputatedui.com";"981559905";"male";"Hispanic";"2019-04-23 16:18:33";"0000-00-00 00:00:00"
49;"Jester";"Weah";"H";"1994-02-03";4091;"Donec Avenue";97;"Houston";45;92504;"est@dolor.com";"485462116";"male";"";"2019-04-23 16:18:34";"0000-00-00 00:00:00"
50;"Joel";"Webb";"F";"1995-03-04";4911;"Ut Av.";55;"West Valley City";46;15349;"mus.Aenean.eget@orci.ca";"660256416";"male";"White";"2019-04-23 16:18:35";"0000-00-00 00:00:00"
51;"Clint";"Capela";"";"1996-04-05";3998;"Nunc Road";0;"Boise";13;39654;"mi.Duis.risus@loremegetmollis.";"767516568";"male";"Hispanic";"2019-04-23 16:18:37";"0000-00-00 00:00:00"
52;"Chris";"Chiozza";"";"1960-05-06";9448;"Euismod Road";0;"St.Cloud";24;58612;"turpis@semmollisdui.ca";"841584366";"male";"Hispanic";"2019-04-23 16:18:38";"0000-00-00 00:00:00"
53;"Gary ";"Clark";"J";"1961-06-07";3246;"Quis Rd.";0;"Houston";45;20679;"gravida@semPellentesque.net";"726404576";"male";"Hispanic";"2019-04-23 16:18:39";"0000-00-00 00:00:00"
54;"Trevon";"Duval";"";"1962-07-08";1021;"Natoque Av.";0;"St.Cloud";24;17056;"tincidunt.adipiscing.Mauris@no";"849414715";"male";"Hispanic";"2019-04-23 16:18:40";"0000-00-00 00:00:00"
55;"Vincent ";"Edwards";"";"1963-08-09";3626;"Pharetra Road";0;"Boise";13;53314;"pede.Cras.vulputate@morbitrist";"638260504";"male";"Others";"2019-04-23 16:18:41";"0000-00-00 00:00:00"
56;"Kenneth";"Faried";"R";"1964-09-10";7788;"At Road";0;"Houston";45;13909;"pharetra@liberomaurisaliquam.e";"663164838";"male";"Asian";"2019-04-23 16:18:42";"0000-00-00 00:00:00"
57;"Michael";"Frazier";"Y";"1965-10-11";8343;"Tristique Ave";0;"Houston";11;79274;"Aliquam@egetipsumSuspendisse.c";"939703605";"male";"";"2019-04-23 16:18:43";"0000-00-00 00:00:00"
58;"Eric";"Gordon";"";"1966-11-12";8069;"Sed Rd.";0;"West Valley City";46;89278;"justo.eu@porta.com";"168653405";"male";"Asian";"2019-04-23 16:18:43";"0000-00-00 00:00:00"
59;"Gerald";"Green";"";"1967-12-13";9636;"Dolor Avenue";0;"Houston";45;32205;"pharetra.ut.pharetra@sitametco";"266399623";"male";"White";"2019-04-23 16:18:44";"0000-00-00 00:00:00"
60;"James";"Harden";"D";"1968-01-14";3598;"Mattis St.";0;"Los Angeles";5;54918;"mus@ametconsectetuer.com";"212252568";"male";"Hispanic";"2019-04-23 16:18:45";"0000-00-00 00:00:00"
61;"Lebron";"James";"";"1969-02-15";1530;"Cras Avenue";0;"Los Angeles";5;51922;"odio.Etiam.ligula@dis.org";"355098272";"male";"Others";"2019-04-23 16:18:46";"0000-00-00 00:00:00"
62;"Isaiah";"Hartenstein";"Q";"1970-03-16";2130;"Pellentesque St.";0;"Boise";13;19279;"consectetuer.adipiscing.elit@e";"116657940";"male";"Others";"2019-04-23 16:18:48";"0000-00-00 00:00:00"
63;"Danuel";"House";"";"1971-04-17";6221;"Neque Rd.";0;"Boise";13;13733;"neque.vitae@Inatpede.net";"334929901";"male";"Native American";"2019-04-23 16:18:49";"0000-00-00 00:00:00"
64;"Chris";"Paul";"S";"1972-05-18";480;"Dignissim Road";0;"Boise";13;14069;"ornare.In@turpisegestas.org";"272111919";"male";"";"2019-04-23 16:18:51";"0000-00-00 00:00:00"
65;"Austin";"Rivers";"K";"1973-06-19";6845;"Nisi. Rd.";0;"Miami";10;60799;"Nullam@lectusrutrumurna.org";"632180448";"male";"African American";"2019-04-23 16:18:52";"0000-00-00 00:00:00"
66;"Iman ";"Shumpert";"";"1974-07-20";8408;"Non Avenue";0;"Boise";10;51135;"orci@viverraMaecenasiaculis.co";"744659107";"male";"Hispanic";"2019-04-23 16:18:53";"0000-00-00 00:00:00"
67;"PJ";"Tucker";"";"1975-08-21";9275;"Luctus Avenue";0;"West Valley City";46;18504;"vitae.diam@gravida.edu";"705766502";"male";"Asian";"2019-04-23 16:18:54";"0000-00-00 00:00:00"
68;"DaMarcus";"Beasley";"";"1976-09-22";537;"Eu Rd.";0;"West Valley City";46;15782;"enim.commodo.hendrerit@ultrice";"144258350";"male";"";"2019-04-23 16:18:55";"0000-00-00 00:00:00"
69;"Lindsay";"Agnew";"";"1977-10-23";9490;"At Ave";0;"St.Cloud";24;76503;"ac.fermentum@vel.co.uk";"475201666";"female";"African American";"2019-04-23 16:18:56";"0000-00-00 00:00:00"
70;"Eric";"Bird";"F";"1978-11-24";3427;"Odio Rd.";0;"Houston";45;91766;"blandit.mattis.Cras@Aeneaneuis";"316060466";"male";"African American";"2019-04-23 16:18:57";"0000-00-00 00:00:00"
71;"Amber";"Brooks";"";"1979-12-25";2264;"Vel, St.";0;"West Valley City";46;38224;"penatibus@erategettincidunt.ne";"653278380";"female";"Native American";"2019-04-23 16:18:58";"0000-00-00 00:00:00"
72;"Juan ";"David";"";"1980-01-26";6541;"Magna. Road";0;"West Valley City";46;24543;"magna@quamafelis.edu";"117845285";"male";"Hispanic";"2019-04-23 16:18:59";"0000-00-00 00:00:00"
73;"Jane";"Campbell";"";"1981-02-27";9307;"Nunc Ave";0;"West Valley City";46;44273;"quam.quis@Donec.org";"437597645";"female";"African American";"2019-04-23 16:19:00";"0000-00-00 00:00:00"
74;"Darwin ";"Ceren";"X";"1982-03-28";6621;"Arcu. St.";0;"Los Angeles";5;85739;"turpis.Aliquam@tellus.net";"643992340";"male";"White";"2019-04-23 16:19:01";"0000-00-00 00:00:00"
75;"Allysha";"Chapman";"";"1983-04-29";7624;"Mollis Road";0;"West Valley City";46;19356;"Donec.elementum.lorem@Crasinte";"818153708";"female";"Others";"2019-04-23 16:19:02";"0000-00-00 00:00:00"
76;"AJ";"DelaGarza";"";"1984-05-30";9805;"Sem Street";0;"Miami";10;59052;"a.mi@vestibulumnequesed.org";"198614501";"male";"Others";"2019-04-23 16:19:03";"0000-00-00 00:00:00"
77;"Taylor";"Comeau";"J";"1985-06-01";4213;"Justo Rd.";0;"Miami";10;81826;"dignissim@elit.net";"798103138";"female";"Native American";"2019-04-23 16:19:04";"0000-00-00 00:00:00"
78;"Tyler";"Deric";"";"1986-07-02";7991;"Lacus. Av.";0;"West Valley City";46;93413;"nunc.nulla.vulputate@etpedeNun";"181274398";"male";"";"2019-04-23 16:19:05";"0000-00-00 00:00:00"
79;"Rachel";"Daly";"L";"1987-08-03";1069;"Augue Rd.";0;"Los Angeles";5;98965;"eget@adipiscinglacusUt.co.uk";"240286655";"female";"White";"2019-04-23 16:19:06";"0000-00-00 00:00:00"
80;"Chris";"Duvall";"";"1988-09-04";5279;"Nisl Avenue";0;"Miami";10;55514;"nonummy@acfermentumvel.ca";"370831484";"male";"Asian";"2019-04-23 16:19:07";"0000-00-00 00:00:00"
81;"Jamia";"Fields";"";"1989-10-05";8714;"Nunc St.";475;"Boise";13;86255;"at.nisi@Loremipsumdolor.edu";"110277214";"female";"Asian";"2019-04-23 16:19:07";"0000-00-00 00:00:00"
82;"Alberth";"Elis";"";"1990-11-06";9954;"Nullam Av.";893;"Boise";13;82504;"dictum.cursus.Nunc@sem.co.uk";"778051410";"male";"African American";"2019-04-23 16:19:08";"0000-00-00 00:00:00"
83;"Haley";"Hanson";"R";"1991-12-07";7563;"Sed Street";944;"Houston";45;76441;"nibh.Quisque.nonummy@cursusInt";"782773815";"female";"Asian";"2019-04-23 16:19:09";"0000-00-00 00:00:00"
84;"Maynor";"Figueroa";"";"1992-01-08";5956;"Mollis. Street";955;"Miami";10;17645;"eget@erat.net";"618486925";"male";"White";"2019-04-23 16:19:10";"0000-00-00 00:00:00"
85;"Bianca";"Henninger";"I";"1993-02-09";9875;"Ut St.";624;"Boise";13;72035;"elit@ipsumnuncid.co.uk";"423815824";"female";"African American";"2019-04-23 16:19:11";"0000-00-00 00:00:00"
86;"Alejandro";"Fuenmayor";"";"1994-03-10";2184;"Sagittis. Rd.";167;"Miami";10;96978;"nisl.elementum@sedtortorIntege";"153376200";"male";"Others";"2019-04-23 16:19:12";"0000-00-00 00:00:00"
87;"Sofia";"Huerta";"";"1995-04-11";2551;"Auctor, Road";70;"Los Angeles";5;81892;"felis@aliquet.co.uk";"689051295";"female";"Others";"2019-04-23 16:19:13";"0000-00-00 00:00:00"
88;"Kevin";"Garcia";"D";"1996-05-12";8919;"Luctus Street";758;"St.Cloud";24;16047;"elit@orciquislectus.org";"170354367";"male";"African American";"2019-04-23 16:19:14";"0000-00-00 00:00:00"
89;"Jazmin";"Jackmon";"";"1950-06-13";2008;"Convallis St.";495;"West Valley City";46;73086;"pellentesque.massa@enimSed.ca";"881385966";"female";"";"2019-04-23 16:19:15";"0000-00-00 00:00:00"
90;"Boniek";"Garcia";"";"1951-07-14";4289;"Nonummy Av.";264;"West Valley City";46;32986;"consequat@dolorQuisque.com";"695926971";"male";"Asian";"2019-04-23 16:19:16";"0000-00-00 00:00:00"
91;"Devon";"Kerr";"E";"1952-08-15";3861;"Egestas, Rd.";265;"Los Angeles";5;41924;"massa.rutrum@pharetrafelis.co.";"697441802";"female";"Asian";"2019-04-23 16:19:17";"0000-00-00 00:00:00"
92;"Marlon";"Hairston";"";"1953-09-16";4462;"At Ave";170;"St.Cloud";24;50825;"nec.enim.Nunc@gravidanon.ca";"896369961";"male";"Asian";"2019-04-23 16:19:18";"0000-00-00 00:00:00"
93;"CeCe";"Kizer";"";"1954-10-17";165;"Fusce Rd.";442;"West Valley City";46;14107;"Lorem.ipsum@at.net";"123455387";"female";"";"2019-04-23 16:19:19";"0000-00-00 00:00:00"
94;"Sam ";"Junqua";"H";"1955-11-18";4326;"Elementum, Avenue";787;"Boise";13;11350;"mi@imperdietullamcorper.com";"126168304";"male";"Hispanic";"2019-04-23 16:19:20";"0000-00-00 00:00:00"
95;"Veronica";"Latsko";"";"1956-12-19";1959;"Elit Road";450;"Miami";10;69681;"est.Nunc.laoreet@elementum.co.";"407205751";"female";"Others";"2019-04-23 16:19:21";"0000-00-00 00:00:00"
96;"Adam";"Lundkvist";"C";"1957-01-20";4470;"A, Rd.";608;"West Valley City";46;14720;"Suspendisse@PraesentluctusCura";"899633920";"male";"Asian";"2019-04-23 16:19:22";"0000-00-00 00:00:00"
97;"Kayla";"McCoy";"";"1958-02-21";8258;"Dictum. Av.";169;"Boise";13;16804;"Duis.gravida@litoratorquent.or";"168245910";"female";"Asian";"2019-04-23 16:19:23";"0000-00-00 00:00:00"
98;"Mauro";"Manotas";"";"1959-03-22";7850;"Ullamcorper Ave";312;"St.Cloud";24;10762;"est.mollis@ultrices.org";"167529178";"male";"Others";"2019-04-23 16:19:24";"0000-00-00 00:00:00"
99;"Kristie";"Mewis";"H";"1960-04-23";3609;"Porttitor Av.";893;"St.Cloud";24;88918;"Aliquam.ornare@dui.co.uk";"612046348";"female";"White";"2019-04-23 16:19:25";"0000-00-00 00:00:00"
100;"Tomas";"Martinez";"";"1961-05-24";4586;"Non Ave";929;"Los Angeles";5;98194;"mi.fringilla.mi@Aliquamerat.ed";"140312734";"male";"Native American";"2019-04-23 16:19:26";"0000-00-00 00:00:00"
101;"Satara";"Murray";"H";"1962-06-25";931;"Sem Street";68;"Houston";45;56637;"doc1@gmail.com";"533622644";"female";"African American";"2019-04-23 16:19:28";"0000-00-00 00:00:00"
102;"Erik";"McCue";"";"1963-07-26";527;"Justo Rd.";500;"Los Angeles";5;45395;"doc2@gmail.com";"332838560";"male";"White";"2019-04-23 16:19:29";"0000-00-00 00:00:00"
103;"Christine";"Nairn";"K";"1964-08-27";841;"Lacus. Av.";690;"West Valley City";46;61985;"doc3@gmail.com";"925213335";"female";"Others";"2019-04-23 16:19:30";"0000-00-00 00:00:00"
104;"Tommy";"McNamara";"";"1965-09-28";5245;"Augue Rd.";408;"Miami";10;49248;"doc4@gmail.com";"934676552";"male";"Others";"2019-04-23 16:19:31";"0000-00-00 00:00:00"
105;"Kealia";"Ohai";"L";"1966-10-29";4602;"Nisl Avenue";907;"Miami";10;17197;"doc5@gmail.com";"869315147";"female";"Native American";"2019-04-23 16:19:32";"0000-00-00 00:00:00"
106;"Michael";"Nelson";"";"1967-11-30";8954;"Nunc St.";0;"West Valley City";46;84285;"doc6@gmail.com";"920369232";"male";"";"2019-04-23 16:19:33";"0000-00-00 00:00:00"
107;"Clare";"Polkinghorne";"";"1968-12-01";4174;"Nullam Av.";0;"Los Angeles";5;74125;"doc7@gmail.com";"222114570";"female";"White";"2019-04-23 16:19:34";"0000-00-00 00:00:00"
108;"Ronaldo";"Pena";"";"1969-01-02";2170;"Sed Street";0;"Los Angeles";5;52917;"doc8@gmail.com";"530534526";"male";"Asian";"2019-04-23 16:19:35";"0000-00-00 00:00:00"
109;"Nichelle";"Prince";"";"1970-02-03";9620;"Mollis. Street";0;"Boise";13;99716;"doc9@gmail.com";"496004237";"female";"Asian";"2019-04-23 16:19:36";"0000-00-00 00:00:00"
110;"Romell";"Quioto";"S";"1971-03-04";9052;"Ut St.";0;"Boise";13;11559;"doc10@gmail.com";"241857705";"male";"African American";"2019-04-23 16:19:37";"0000-00-00 00:00:00"
111;"Allysha";"Priscok";"F";"1972-04-05";1477;"Sagittis. Rd.";0;"Houston";45;70733;"doc11@gmail.com";"130426416";"female";"Asian";"2019-04-23 16:19:38";"0000-00-00 00:00:00"
112;"Memo";"Rodriguez";"";"1973-05-06";1131;"Auctor, Road";0;"Houston";45;61996;"doc12@gmail.com";"984931961";"male";"White";"2019-04-23 16:19:39";"0000-00-00 00:00:00"
113;"Ari";"Romero";"";"1974-06-07";4242;"Luctus Street";0;"Houston";45;22046;"doc13@gmail.com";"115958119";"female";"African American";"2019-04-23 16:19:40";"0000-00-00 00:00:00"
114;"KiKi";"Struna";"G";"1975-07-08";6749;"Convallis St.";0;"Houston";45;39355;"doc14@gmail.com";"318846430";"male";"Others";"2019-04-23 16:19:40";"0000-00-00 00:00:00"
115;"Sophie";"Schmidt";"";"1976-08-09";320;"Nonummy Av.";0;"Houston";45;56708;"doc15@gmail.com";"509410375";"female";"Others";"2019-04-23 16:19:41";"0000-00-00 00:00:00"
116;"Matias ";"Vera";"";"1977-09-10";910;"Egestas, Rd.";0;"Houston";45;21802;"doc16@gmail.com";"689955906";"male";"African American";"2019-04-23 16:19:42";"0000-00-00 00:00:00"
117;"Meleana ";"Shim";"";"1978-10-11";4695;"At Ave";0;"West Valley City";46;10593;"doc17@gmail.com";"116060250";"female";"";"2019-04-23 16:19:43";"0000-00-00 00:00:00"
118;"Joe";"Willis";"Q";"1979-11-12";1525;"Fusce Rd.";0;"West Valley City";46;62615;"doc18@gmail.com";"119155873";"male";"Asian";"2019-04-23 16:19:44";"0000-00-00 00:00:00"
119;"Kyah ";"Simon";"";"1980-12-13";9841;"Elementum, Avenue";0;"Los Angeles";5;96109;"doc19@gmail.com";"145046033";"female";"Asian";"2019-04-23 16:19:45";"0000-00-00 00:00:00"
120;"Jaime";"Lannister";"";"1981-01-14";1215;"Elit Road";0;"St.Cloud";24;34482;"doc20@gmail.com";"449997296";"male";"Asian";"2019-04-23 16:19:46";"0000-00-00 00:00:00"
121;"Deanarys";"Targarian";"T";"1982-02-15";8715;"A, Rd.";0;"West Valley City";46;46258;"doc21@gmail.com";"132139688";"female";"";"2019-04-23 16:19:47";"0000-00-00 00:00:00"
122;"Elton";"John";"";"1983-03-16";8661;"Dictum. Av.";0;"Boise";13;78168;"doc22@gmail.com";"283662196";"male";"Hispanic";"2019-04-23 16:19:48";"0000-00-00 00:00:00"
123;"Lady";"Gaga";"";"1984-04-17";3304;"Ullamcorper Ave";0;"Miami";10;18633;"doc23@gmail.com";"859894046";"female";"Others";"2019-04-23 16:19:50";"0000-00-00 00:00:00"
124;"Rick";"Grimes";"";"1985-05-18";1222;"Porttitor Av.";0;"West Valley City";46;15260;"doc24@gmail.com";"896365177";"male";"Asian";"2019-04-23 16:19:51";"0000-00-00 00:00:00"
125;"Beth";"Green";"";"1986-06-19";905;"Non Ave";0;"Boise";13;24059;"doc25@gmail.com";"701397199";"female";"Asian";"2019-04-23 16:19:52";"0000-00-00 00:00:00"
126;"Brandon ";"Flowers";"";"1987-07-20";7436;"Sem Street";0;"St.Cloud";24;92268;"doc26@gmail.com";"633354495";"male";"Others";"2019-04-23 16:19:53";"0000-00-00 00:00:00"
127;"Ariana";"Grande";"";"1988-08-21";8848;"Justo Rd.";0;"St.Cloud";24;18745;"doc27@gmail.com";"904290487";"female";"White";"2019-04-23 16:19:54";"0000-00-00 00:00:00"
128;"John";"Snow";"O";"1989-09-23";4505;"Lacus. Av.";0;"Los Angeles";5;18994;"doc28@gmail.com";"986010994";"male";"Native American";"2019-04-23 16:19:55";"0000-00-00 00:00:00"
